Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %"
La,100.00 ,,,,,,,,,,,,,,,,,,,,,,n.a.,723 ,0.75 ,0.25 ,3.0 ,1.0 ,0.05 ,,3.3 ,,3.3 ,6.8 ,10.2 ,0.3 
La,100.00 ,,,,,,,,,,,,,,,,,,,,,,n.a.,773 ,0.75 ,0.25 ,3.0 ,1.0 ,0.05 ,,8.2 ,,7.0 ,10.3 ,17.3 ,1.4 
La,100.00 ,,,,,,,,,,,,,,,,,,,,,,n.a.,823 ,0.75 ,0.25 ,3.0 ,1.0 ,0.05 ,,11.4 ,,10.0 ,13.6 ,23.6 ,2.7 
La,100.00 ,,,,,,,,,,,,,,,,,,,,,,n.a.,873 ,0.75 ,0.25 ,3.0 ,1.0 ,0.05 ,,15.6 ,,13.6 ,16.9 ,30.5 ,4.8 
La,100.00 ,,,,,,,,,,,,,,,,,,,,,,n.a.,923 ,0.75 ,0.25 ,3.0 ,1.0 ,0.05 ,,19.8 ,,17.1 ,20.3 ,37.3 ,7.4 
La,100.00 ,,,,,,,,,,,,,,,,,,,,,,n.a.,973 ,0.75 ,0.25 ,3.0 ,1.0 ,0.05 ,,23.2 ,,20.1 ,23.3 ,43.4 ,10.1 
La,100.00 ,,,,,,,,,,,,,,,,,,,,,,n.a.,1023 ,0.75 ,0.25 ,3.0 ,1.0 ,0.05 ,,27.1 ,,23.7 ,26.5 ,50.3 ,13.6 
La,100.00 ,,,,,,,,,,,,,,,,,,,,,,n.a.,1073 ,0.75 ,0.25 ,3.0 ,1.0 ,0.05 ,,31.3 ,,26.7 ,26.5 ,53.3 ,16.7 
La,76.02 ,Ce,23.98 ,,,,,,,,,,,,,,,,,,,,Electrospining,1023 ,,,5.0 ,1.0 ,0.00 ,,15.0 ,64.7 ,12.7 ,22.7 ,35.3 ,5.3 
La,76.02 ,Ce,23.98 ,,,,,,,,,,,,,,,,,,,,Electrospining,883 ,0.88 ,0.13 ,7.0 ,1.0 ,0.01 ,,14.3 ,51.4 ,19.1 ,29.5 ,48.6 ,7.0 
