Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Mean_MC,std_MC,abs_error_MC
723.0,3.75,1.368,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.75,1.44,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,4.0,0.0,5.726450934,4.033523,7.898583,1.6929278512668455
723.0,4.0,0.072,2.060366919,4.077863,7.8591523,2.0174962974001467
723.0,4.0,0.144,0.0,3.3652215,8.416468,3.3652215003967285
723.0,4.0,0.216,0.0,3.3649998,8.416721,3.364999771118164
723.0,4.0,0.288,0.0,3.3649998,8.416721,3.364999771118164
723.0,4.0,0.36,3.077133259,4.0622745,7.883403,0.98514119702417
723.0,4.0,0.432,0.0,3.4949603,8.3045225,3.494960308074951
723.0,4.0,0.504,0.0,3.4949603,8.3045225,3.494960308074951
723.0,4.0,0.576,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.0,0.648,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.0,0.72,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.0,0.792,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.0,0.864,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.0,0.936,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.0,1.008,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.0,1.08,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.0,1.152,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.0,1.224,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.0,1.296,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.0,1.368,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.0,1.44,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.25,0.0,5.726450934,4.033523,7.898583,1.6929278512668455
723.0,4.25,0.072,2.060366919,4.077863,7.8591523,2.0174962974001467
723.0,4.25,0.144,0.0,3.3652215,8.416468,3.3652215003967285
723.0,4.25,0.216,0.0,3.3649998,8.416721,3.364999771118164
723.0,4.25,0.288,0.0,3.3649998,8.416721,3.364999771118164
723.0,4.25,0.36,3.077133259,4.0622745,7.883403,0.98514119702417
723.0,4.25,0.432,0.0,3.4949603,8.3045225,3.494960308074951
723.0,4.25,0.504,0.0,3.4949603,8.3045225,3.494960308074951
723.0,4.25,0.576,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.25,0.648,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.25,0.72,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.25,0.792,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.25,0.864,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.25,0.936,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.25,1.008,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.25,1.08,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.25,1.152,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.25,1.224,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.25,1.296,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.25,1.368,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.25,1.44,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.5,0.0,5.726450934,4.033523,7.898583,1.6929278512668455
723.0,4.5,0.072,2.060366919,4.077863,7.8591523,2.0174962974001467
723.0,4.5,0.144,0.0,3.3652215,8.416468,3.3652215003967285
723.0,4.5,0.216,0.0,3.3649998,8.416721,3.364999771118164
723.0,4.5,0.288,0.0,3.3649998,8.416721,3.364999771118164
723.0,4.5,0.36,3.077133259,4.0622745,7.883403,0.98514119702417
723.0,4.5,0.432,0.0,3.4949603,8.3045225,3.494960308074951
723.0,4.5,0.504,0.0,3.4949603,8.3045225,3.494960308074951
723.0,4.5,0.576,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.5,0.648,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.5,0.72,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.5,0.792,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.5,0.864,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.5,0.936,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.5,1.008,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.5,1.08,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.5,1.152,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.5,1.224,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.5,1.296,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.5,1.368,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.5,1.44,1.500681153,3.4949603,8.3045225,1.9942791550749512
723.0,4.75,0.0,5.726450934,4.033523,7.898583,1.6929278512668455
723.0,4.75,0.072,2.060366919,4.077863,7.8591523,2.0174962974001467
723.0,4.75,0.144,0.0,3.3652215,8.416468,3.3652215003967285
723.0,4.75,0.216,0.0,3.3649998,8.416721,3.364999771118164
723.0,4.75,0.288,0.0,3.3649998,8.416721,3.364999771118164
723.0,4.75,0.36,3.077133259,4.0622745,7.883403,0.98514119702417
