,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted
3582,885.4,5.5,0.0,5.016068602
3583,885.4,5.5,0.072,1.349984495
3584,885.4,5.5,0.144,0.0
3585,885.4,5.5,0.216,0.0
3586,885.4,5.5,0.288,0.0
3587,885.4,5.5,0.36,2.347010836
3588,885.4,5.5,0.432,0.0
3589,885.4,5.5,0.504,0.0
3590,885.4,5.5,0.576,0.770557994
3603,885.4,5.75,0.0,5.016068602
3604,885.4,5.75,0.072,1.349984495
3605,885.4,5.75,0.144,0.0
3606,885.4,5.75,0.216,0.0
3607,885.4,5.75,0.288,0.0
3608,885.4,5.75,0.36,2.347010836
3609,885.4,5.75,0.432,0.0
3610,885.4,5.75,0.504,0.0
3611,885.4,5.75,0.576,0.770557994
3624,885.4,6.000000000000001,0.0,5.016068602
3625,885.4,6.000000000000001,0.072,1.349984495
3626,885.4,6.000000000000001,0.144,0.0
3627,885.4,6.000000000000001,0.216,0.0
3628,885.4,6.000000000000001,0.288,0.0
3629,885.4,6.000000000000001,0.36,2.347010836
3630,885.4,6.000000000000001,0.432,0.0
3631,885.4,6.000000000000001,0.504,0.0
3632,885.4,6.000000000000001,0.576,0.770557994
3687,908.6,1.5000000000000002,0.0,9.551309758
3688,908.6,1.5000000000000002,0.072,6.994392112
3689,908.6,1.5000000000000002,0.144,3.243188454
3690,908.6,1.5000000000000002,0.216,2.962152095
3691,908.6,1.5000000000000002,0.288,2.962152095
3692,908.6,1.5000000000000002,0.36,9.589847711
3693,908.6,1.5000000000000002,0.432,6.617509592
3694,908.6,1.5000000000000002,0.504,6.617509592
3695,908.6,1.5000000000000002,0.576,9.933110279
3708,908.6,1.75,0.0,9.551309758
3709,908.6,1.75,0.072,6.994392112
3710,908.6,1.75,0.144,3.243188454
3711,908.6,1.75,0.216,2.962152095
3712,908.6,1.75,0.288,2.962152095
3713,908.6,1.75,0.36,9.589847711
3714,908.6,1.75,0.432,6.617509592
3715,908.6,1.75,0.504,6.617509592
3716,908.6,1.75,0.576,9.933110279
3729,908.6,2.0,0.0,7.930769467
3730,908.6,2.0,0.072,5.287248717
3731,908.6,2.0,0.144,1.408573088
3732,908.6,2.0,0.216,1.193470945
3733,908.6,2.0,0.288,1.193470945
3734,908.6,2.0,0.36,7.821168953
3735,908.6,2.0,0.432,4.825053139
3736,908.6,2.0,0.504,4.825053139
3737,908.6,2.0,0.576,8.206915799
3750,908.6,2.25,0.0,7.046489346
3751,908.6,2.25,0.072,3.494753987
3752,908.6,2.25,0.144,0.0
3753,908.6,2.25,0.216,0.0
3754,908.6,2.25,0.288,0.0
3755,908.6,2.25,0.36,5.958626398
3756,908.6,2.25,0.432,2.044605542
3757,908.6,2.25,0.504,2.044605542
3758,908.6,2.25,0.576,4.701343831
3771,908.6,2.5,0.0,6.782047281
3772,908.6,2.5,0.072,3.4763208720000005
3773,908.6,2.5,0.144,0.0
3774,908.6,2.5,0.216,0.0
3775,908.6,2.5,0.288,0.0
3776,908.6,2.5,0.36,5.940193284
3777,908.6,2.5,0.432,2.026172611
3778,908.6,2.5,0.504,2.026172611
3779,908.6,2.5,0.576,4.682910717
3792,908.6,2.75,0.0,6.560958847
3793,908.6,2.75,0.072,3.335918263
3794,908.6,2.75,0.144,0.0
3795,908.6,2.75,0.216,0.0
3796,908.6,2.75,0.288,0.0
3797,908.6,2.75,0.36,5.807724179
3798,908.6,2.75,0.432,1.8937036909999998
3799,908.6,2.75,0.504,1.8937036909999998
3800,908.6,2.75,0.576,4.550441612
3813,908.6,3.0000000000000004,0.0,6.887156007
3814,908.6,3.0000000000000004,0.072,2.836903934
3815,908.6,3.0000000000000004,0.144,0.0
