,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted
5949,1024.6,2,1.08,17.71927243
5950,1024.6,2,1.152,17.71927243
5951,1024.6,2,1.224,17.71927243
5952,1024.6,2,1.296,17.71927243
5953,1024.6,2,1.368,17.71927243
5954,1024.6,2,1.44,17.71927243
5955,1024.6,2.25,0,16.53584452
5956,1024.6,2.25,0.072,13.77135282
5957,1024.6,2.25,0.144,9.460659114
5958,1024.6,2.25,0.216,9.292862633
5959,1024.6,2.25,0.288,9.292862633
5960,1024.6,2.25,0.36,15.8731902
5961,1024.6,2.25,0.432,11.70888668
5962,1024.6,2.25,0.504,11.70888668
5963,1024.6,2.25,0.576,14.36563951
5964,1024.6,2.25,0.648,14.36563951
5965,1024.6,2.25,0.72,14.36563951
5966,1024.6,2.25,0.792,14.36563951
5967,1024.6,2.25,0.864,14.36563951
5968,1024.6,2.25,0.936,14.36563951
5969,1024.6,2.25,1.008,14.36563951
5970,1024.6,2.25,1.08,14.36563951
5971,1024.6,2.25,1.152,14.36563951
5972,1024.6,2.25,1.224,14.36563951
5973,1024.6,2.25,1.296,14.36563951
5974,1024.6,2.25,1.368,14.36563951
5975,1024.6,2.25,1.44,14.36563951
5976,1024.6,2.5,0,16.08872095
5977,1024.6,2.5,0.072,13.5702382
5978,1024.6,2.5,0.144,9.259543753
5979,1024.6,2.5,0.216,9.0917458
5980,1024.6,2.5,0.288,9.0917458
5981,1024.6,2.5,0.36,15.6720741
5982,1024.6,2.5,0.432,11.50777132
5983,1024.6,2.5,0.504,11.50777132
5984,1024.6,2.5,0.576,14.16452341
5985,1024.6,2.5,0.648,14.16452341
5986,1024.6,2.5,0.72,14.16452341
5987,1024.6,2.5,0.792,14.16452341
5988,1024.6,2.5,0.864,14.16452341
5989,1024.6,2.5,0.936,14.16452341
5990,1024.6,2.5,1.008,14.16452341
5991,1024.6,2.5,1.08,14.16452341
5992,1024.6,2.5,1.152,14.16452341
5993,1024.6,2.5,1.224,14.16452341
5994,1024.6,2.5,1.296,14.16452341
5995,1024.6,2.5,1.368,14.16452341
5996,1024.6,2.5,1.44,14.16452341
5997,1024.6,2.75,0,15.91520483
5998,1024.6,2.75,0.072,13.47741085
5999,1024.6,2.75,0.144,9.166715673
6000,1024.6,2.75,0.216,8.970544812
6001,1024.6,2.75,0.288,8.970544812
6002,1024.6,2.75,0.36,15.58717916
6003,1024.6,2.75,0.432,11.4228749
6004,1024.6,2.75,0.504,11.4228749
6005,1024.6,2.75,0.576,14.07962847
6006,1024.6,2.75,0.648,14.07962847
6007,1024.6,2.75,0.72,14.07962847
6008,1024.6,2.75,0.792,14.07962847
6009,1024.6,2.75,0.864,14.07962847
6010,1024.6,2.75,0.936,14.07962847
6011,1024.6,2.75,1.008,14.07962847
6012,1024.6,2.75,1.08,14.07962847
6013,1024.6,2.75,1.152,14.07962847
6014,1024.6,2.75,1.224,14.07962847
6015,1024.6,2.75,1.296,14.07962847
6016,1024.6,2.75,1.368,14.07962847
6017,1024.6,2.75,1.44,14.07962847
6018,1024.6,3,0,16.00186352
6019,1024.6,3,0.072,12.73884222
6020,1024.6,3,0.144,8.428153664
6021,1024.6,3,0.216,7.620108801
6022,1024.6,3,0.288,7.620108801
6023,1024.6,3,0.36,14.23675272
6024,1024.6,3,0.432,9.985192055
6025,1024.6,3,0.504,9.985192055
6026,1024.6,3,0.576,12.64194856
6027,1024.6,3,0.648,12.64194856
6028,1024.6,3,0.72,12.64194856
6029,1024.6,3,0.792,12.64194856
6030,1024.6,3,0.864,12.64194856
6031,1024.6,3,0.936,12.64194856
6032,1024.6,3,1.008,12.64194856
6033,1024.6,3,1.08,12.64194856
6034,1024.6,3,1.152,12.64194856
6035,1024.6,3,1.224,12.64194856
6036,1024.6,3,1.296,12.64194856
6037,1024.6,3,1.368,12.64194856
6038,1024.6,3,1.44,12.64194856
6039,1024.6,3.25,0,16.00186352
6040,1024.6,3.25,0.072,12.73884222
6041,1024.6,3.25,0.144,8.428153664
6042,1024.6,3.25,0.216,7.620108801
6043,1024.6,3.25,0.288,7.620108801
6044,1024.6,3.25,0.36,14.23675272
6045,1024.6,3.25,0.432,9.985192055
6046,1024.6,3.25,0.504,9.985192055
6047,1024.6,3.25,0.576,12.64194856
6048,1024.6,3.25,0.648,12.64194856
6049,1024.6,3.25,0.72,12.64194856
6050,1024.6,3.25,0.792,12.64194856
6051,1024.6,3.25,0.864,12.64194856
6052,1024.6,3.25,0.936,12.64194856
6053,1024.6,3.25,1.008,12.64194856
6054,1024.6,3.25,1.08,12.64194856
6055,1024.6,3.25,1.152,12.64194856
6056,1024.6,3.25,1.224,12.64194856
6057,1024.6,3.25,1.296,12.64194856
6058,1024.6,3.25,1.368,12.64194856
6059,1024.6,3.25,1.44,12.64194856
6060,1024.6,3.5,0,16.00186352
6061,1024.6,3.5,0.072,12.73884222
6062,1024.6,3.5,0.144,8.428153664
6063,1024.6,3.5,0.216,7.620108801
6064,1024.6,3.5,0.288,7.620108801
6065,1024.6,3.5,0.36,14.23675272
6066,1024.6,3.5,0.432,9.985192055
6067,1024.6,3.5,0.504,9.985192055
6068,1024.6,3.5,0.576,12.64194856
6069,1024.6,3.5,0.648,12.64194856
6070,1024.6,3.5,0.72,12.64194856
6071,1024.6,3.5,0.792,12.64194856
6072,1024.6,3.5,0.864,12.64194856
6073,1024.6,3.5,0.936,12.64194856
6074,1024.6,3.5,1.008,12.64194856
6075,1024.6,3.5,1.08,12.64194856
6076,1024.6,3.5,1.152,12.64194856
6077,1024.6,3.5,1.224,12.64194856
6078,1024.6,3.5,1.296,12.64194856
6079,1024.6,3.5,1.368,12.64194856
6080,1024.6,3.5,1.44,12.64194856
6081,1024.6,3.75,0,16.00186352
6082,1024.6,3.75,0.072,12.73884222
6083,1024.6,3.75,0.144,8.428153664
6084,1024.6,3.75,0.216,7.620108801
6085,1024.6,3.75,0.288,7.620108801
6086,1024.6,3.75,0.36,14.23675272
6087,1024.6,3.75,0.432,9.985192055
6088,1024.6,3.75,0.504,9.985192055
6089,1024.6,3.75,0.576,12.64194856
6090,1024.6,3.75,0.648,12.64194856
6091,1024.6,3.75,0.72,12.64194856
6092,1024.6,3.75,0.792,12.64194856
6093,1024.6,3.75,0.864,12.64194856
6094,1024.6,3.75,0.936,12.64194856
6095,1024.6,3.75,1.008,12.64194856
6096,1024.6,3.75,1.08,12.64194856
6097,1024.6,3.75,1.152,12.64194856
6098,1024.6,3.75,1.224,12.64194856
6099,1024.6,3.75,1.296,12.64194856
6100,1024.6,3.75,1.368,12.64194856
6101,1024.6,3.75,1.44,12.64194856
6102,1024.6,4,0,14.64792432
6103,1024.6,4,0.072,11.76905544
6104,1024.6,4,0.144,7.381099591
6105,1024.6,4,0.216,6.016338736
6106,1024.6,4,0.288,6.016338736
6107,1024.6,4,0.36,12.42381932
6108,1024.6,4,0.432,8.172252768
6109,1024.6,4,0.504,8.172252768
6110,1024.6,4,0.576,10.59707489
6111,1024.6,4,0.648,10.59707489
6112,1024.6,4,0.72,10.59707489
6113,1024.6,4,0.792,10.59707489
6114,1024.6,4,0.864,10.59707489
6115,1024.6,4,0.936,10.59707489
6116,1024.6,4,1.008,10.59707489
6117,1024.6,4,1.08,10.59707489
6118,1024.6,4,1.152,10.59707489
6119,1024.6,4,1.224,10.59707489
6120,1024.6,4,1.296,10.59707489
6121,1024.6,4,1.368,10.59707489
6122,1024.6,4,1.44,10.59707489
6123,1024.6,4.25,0,14.64792432
6124,1024.6,4.25,0.072,11.76905544
6125,1024.6,4.25,0.144,7.381099591
