Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,mean,std
862.2,3.25,0.072,2.836903934,-0.42057484,0.27651596
862.2,3.25,0.144,0,-0.53857887,0.3753474
862.2,3.25,0.216,0,-0.53857887,0.3753474
862.2,3.25,0.288,0,-0.53857887,0.3753474
862.2,3.25,0.36,4.696822231,-0.42678973,0.28368673
862.2,3.25,0.432,0.695549291,-0.51869416,0.35713157
862.2,3.25,0.504,0.695549291,-0.51869416,0.35713157
862.2,3.25,0.576,3.352292825,-0.51869416,0.35713157
862.2,3.25,0.648,3.352292825,-0.51869416,0.35713157
862.2,3.25,0.72,3.352292825,-0.51869416,0.35713157
862.2,3.25,0.792,3.352292825,-0.51869416,0.35713157
862.2,3.25,0.864,3.352292825,-0.51869416,0.35713157
862.2,3.25,0.936,3.352292825,-0.51869416,0.35713157
862.2,3.25,1.008,3.352292825,-0.51869416,0.35713157
862.2,3.25,1.08,3.352292825,-0.51869416,0.35713157
862.2,3.25,1.152,3.352292825,-0.51869416,0.35713157
862.2,3.25,1.224,3.352292825,-0.51869416,0.35713157
862.2,3.25,1.296,3.352292825,-0.51869416,0.35713157
862.2,3.25,1.368,3.352292825,-0.51869416,0.35713157
862.2,3.25,1.44,3.352292825,-0.51869416,0.35713157
862.2,3.5,0,6.887156007,-0.4255249,0.2811681
862.2,3.5,0.072,2.836903934,-0.42057484,0.27651596
862.2,3.5,0.144,0,-0.53857887,0.3753474
862.2,3.5,0.216,0,-0.53857887,0.3753474
862.2,3.5,0.288,0,-0.53857887,0.3753474
862.2,3.5,0.36,4.696822231,-0.42678973,0.28368673
862.2,3.5,0.432,0.695549291,-0.51869416,0.35713157
862.2,3.5,0.504,0.695549291,-0.51869416,0.35713157
862.2,3.5,0.576,3.352292825,-0.51869416,0.35713157
862.2,3.5,0.648,3.352292825,-0.51869416,0.35713157
862.2,3.5,0.72,3.352292825,-0.51869416,0.35713157
862.2,3.5,0.792,3.352292825,-0.51869416,0.35713157
862.2,3.5,0.864,3.352292825,-0.51869416,0.35713157
862.2,3.5,0.936,3.352292825,-0.51869416,0.35713157
862.2,3.5,1.008,3.352292825,-0.51869416,0.35713157
862.2,3.5,1.08,3.352292825,-0.51869416,0.35713157
862.2,3.5,1.152,3.352292825,-0.51869416,0.35713157
862.2,3.5,1.224,3.352292825,-0.51869416,0.35713157
862.2,3.5,1.296,3.352292825,-0.51869416,0.35713157
862.2,3.5,1.368,3.352292825,-0.51869416,0.35713157
862.2,3.5,1.44,3.352292825,-0.51869416,0.35713157
862.2,3.75,0,6.887156007,-0.4255249,0.2811681
862.2,3.75,0.072,2.836903934,-0.42057484,0.27651596
862.2,3.75,0.144,0,-0.53857887,0.3753474
862.2,3.75,0.216,0,-0.53857887,0.3753474
862.2,3.75,0.288,0,-0.53857887,0.3753474
862.2,3.75,0.36,4.696822231,-0.42678973,0.28368673
862.2,3.75,0.432,0.695549291,-0.51869416,0.35713157
862.2,3.75,0.504,0.695549291,-0.51869416,0.35713157
862.2,3.75,0.576,3.352292825,-0.51869416,0.35713157
862.2,3.75,0.648,3.352292825,-0.51869416,0.35713157
862.2,3.75,0.72,3.352292825,-0.51869416,0.35713157
862.2,3.75,0.792,3.352292825,-0.51869416,0.35713157
862.2,3.75,0.864,3.352292825,-0.51869416,0.35713157
862.2,3.75,0.936,3.352292825,-0.51869416,0.35713157
862.2,3.75,1.008,3.352292825,-0.51869416,0.35713157
862.2,3.75,1.08,3.352292825,-0.51869416,0.35713157
862.2,3.75,1.152,3.352292825,-0.51869416,0.35713157
862.2,3.75,1.224,3.352292825,-0.51869416,0.35713157
862.2,3.75,1.296,3.352292825,-0.51869416,0.35713157
862.2,3.75,1.368,3.352292825,-0.51869416,0.35713157
862.2,3.75,1.44,3.352292825,-0.51869416,0.35713157
862.2,4,0,5.678959586,-0.4255249,0.2811681
862.2,4,0.072,2.012875387,-0.42057484,0.27651596
862.2,4,0.144,0,-0.53857887,0.3753474
862.2,4,0.216,0,-0.53857887,0.3753474
862.2,4,0.288,0,-0.53857887,0.3753474
862.2,4,0.36,3.029642463,-0.42678973,0.28368673
862.2,4,0.432,0,-0.51869416,0.35713157
862.2,4,0.504,0,-0.51869416,0.35713157
862.2,4,0.576,1.453188977,-0.51869416,0.35713157
862.2,4,0.648,1.453188977,-0.51869416,0.35713157
862.2,4,0.72,1.453188977,-0.51869416,0.35713157
862.2,4,0.792,1.453188977,-0.51869416,0.35713157
862.2,4,0.864,1.453188977,-0.51869416,0.35713157
862.2,4,0.936,1.453188977,-0.51869416,0.35713157
862.2,4,1.008,1.453188977,-0.51869416,0.35713157
862.2,4,1.08,1.453188977,-0.51869416,0.35713157
862.2,4,1.152,1.453188977,-0.51869416,0.35713157
862.2,4,1.224,1.453188977,-0.51869416,0.35713157
862.2,4,1.296,1.453188977,-0.51869416,0.35713157
862.2,4,1.368,1.453188977,-0.51869416,0.35713157
862.2,4,1.44,1.453188977,-0.51869416,0.35713157
862.2,4.25,0,5.678959586,-0.4255249,0.2811681
862.2,4.25,0.072,2.012875387,-0.42057484,0.27651596
862.2,4.25,0.144,0,-0.53857887,0.3753474
862.2,4.25,0.216,0,-0.53857887,0.3753474
862.2,4.25,0.288,0,-0.53857887,0.3753474
862.2,4.25,0.36,3.029642463,-0.42678973,0.28368673
862.2,4.25,0.432,0,-0.51869416,0.35713157
862.2,4.25,0.504,0,-0.51869416,0.35713157
862.2,4.25,0.576,1.453188977,-0.51869416,0.35713157
862.2,4.25,0.648,1.453188977,-0.51869416,0.35713157
862.2,4.25,0.72,1.453188977,-0.51869416,0.35713157
862.2,4.25,0.792,1.453188977,-0.51869416,0.35713157
862.2,4.25,0.864,1.453188977,-0.51869416,0.35713157
862.2,4.25,0.936,1.453188977,-0.51869416,0.35713157
862.2,4.25,1.008,1.453188977,-0.51869416,0.35713157
862.2,4.25,1.08,1.453188977,-0.51869416,0.35713157
862.2,4.25,1.152,1.453188977,-0.51869416,0.35713157
862.2,4.25,1.224,1.453188977,-0.51869416,0.35713157
862.2,4.25,1.296,1.453188977,-0.51869416,0.35713157
862.2,4.25,1.368,1.453188977,-0.51869416,0.35713157
862.2,4.25,1.44,1.453188977,-0.51869416,0.35713157
862.2,4.5,0,5.678959586,-0.4255249,0.2811681
862.2,4.5,0.072,2.012875387,-0.42057484,0.27651596
862.2,4.5,0.144,0,-0.53857887,0.3753474
862.2,4.5,0.216,0,-0.53857887,0.3753474
862.2,4.5,0.288,0,-0.53857887,0.3753474
862.2,4.5,0.36,3.029642463,-0.42678973,0.28368673
862.2,4.5,0.432,0,-0.51869416,0.35713157
862.2,4.5,0.504,0,-0.51869416,0.35713157
862.2,4.5,0.576,1.453188977,-0.51869416,0.35713157
862.2,4.5,0.648,1.453188977,-0.51869416,0.35713157
862.2,4.5,0.72,1.453188977,-0.51869416,0.35713157
862.2,4.5,0.792,1.453188977,-0.51869416,0.35713157
862.2,4.5,0.864,1.453188977,-0.51869416,0.35713157
862.2,4.5,0.936,1.453188977,-0.51869416,0.35713157
862.2,4.5,1.008,1.453188977,-0.51869416,0.35713157
862.2,4.5,1.08,1.453188977,-0.51869416,0.35713157
862.2,4.5,1.152,1.453188977,-0.51869416,0.35713157
862.2,4.5,1.224,1.453188977,-0.51869416,0.35713157
862.2,4.5,1.296,1.453188977,-0.51869416,0.35713157
862.2,4.5,1.368,1.453188977,-0.51869416,0.35713157
862.2,4.5,1.44,1.453188977,-0.51869416,0.35713157
862.2,4.75,0,5.678959586,-0.4255249,0.2811681
862.2,4.75,0.072,2.012875387,-0.42057484,0.27651596
862.2,4.75,0.144,0,-0.53857887,0.3753474
862.2,4.75,0.216,0,-0.53857887,0.3753474
862.2,4.75,0.288,0,-0.53857887,0.3753474
862.2,4.75,0.36,3.029642463,-0.42678973,0.28368673
862.2,4.75,0.432,0,-0.51869416,0.35713157
862.2,4.75,0.504,0,-0.51869416,0.35713157
862.2,4.75,0.576,1.453188977,-0.51869416,0.35713157
862.2,4.75,0.648,1.453188977,-0.51869416,0.35713157
862.2,4.75,0.72,1.453188977,-0.51869416,0.35713157
862.2,4.75,0.792,1.453188977,-0.51869416,0.35713157
862.2,4.75,0.864,1.453188977,-0.51869416,0.35713157
862.2,4.75,0.936,1.453188977,-0.51869416,0.35713157
862.2,4.75,1.008,1.453188977,-0.51869416,0.35713157
862.2,4.75,1.08,1.453188977,-0.51869416,0.35713157
862.2,4.75,1.152,1.453188977,-0.51869416,0.35713157
862.2,4.75,1.224,1.453188977,-0.51869416,0.35713157
862.2,4.75,1.296,1.453188977,-0.51869416,0.35713157
862.2,4.75,1.368,1.453188977,-0.51869416,0.35713157
862.2,4.75,1.44,1.453188977,-0.51869416,0.35713157
862.2,5,0,5.016068602,-0.42553303,0.2811765
862.2,5,0.072,1.349984495,-0.420583,0.27652258
862.2,5,0.144,0,-0.538587,0.3753578
862.2,5,0.216,0,-0.538587,0.3753578
862.2,5,0.288,0,-0.538587,0.3753578
862.2,5,0.36,2.347010836,-0.4267979,0.28369215
862.2,5,0.432,0,-0.5187023,0.3571418
862.2,5,0.504,0,-0.5187023,0.3571418
862.2,5,0.576,0.770557994,-0.5187023,0.3571418
862.2,5,0.648,0.770557994,-0.5187023,0.3571418
862.2,5,0.72,0.770557994,-0.5187023,0.3571418
862.2,5,0.792,0.770557994,-0.5187023,0.3571418
862.2,5,0.864,0.770557994,-0.5187023,0.3571418
862.2,5,0.936,0.770557994,-0.5187023,0.3571418
862.2,5,1.008,0.770557994,-0.5187023,0.3571418
862.2,5,1.08,0.770557994,-0.5187023,0.3571418
862.2,5,1.152,0.770557994,-0.5187023,0.3571418
862.2,5,1.224,0.770557994,-0.5187023,0.3571418
862.2,5,1.296,0.770557994,-0.5187023,0.3571418
862.2,5,1.368,0.770557994,-0.5187023,0.3571418
862.2,5,1.44,0.770557994,-0.5187023,0.3571418
862.2,5.25,0,5.016068602,-0.42553303,0.2811765
862.2,5.25,0.072,1.349984495,-0.420583,0.27652258
862.2,5.25,0.144,0,-0.538587,0.3753578
862.2,5.25,0.216,0,-0.538587,0.3753578
862.2,5.25,0.288,0,-0.538587,0.3753578
862.2,5.25,0.36,2.347010836,-0.4267979,0.28369215
862.2,5.25,0.432,0,-0.5187023,0.3571418
862.2,5.25,0.504,0,-0.5187023,0.3571418
862.2,5.25,0.576,0.770557994,-0.5187023,0.3571418
862.2,5.25,0.648,0.770557994,-0.5187023,0.3571418
862.2,5.25,0.72,0.770557994,-0.5187023,0.3571418
862.2,5.25,0.792,0.770557994,-0.5187023,0.3571418
862.2,5.25,0.864,0.770557994,-0.5187023,0.3571418
862.2,5.25,0.936,0.770557994,-0.5187023,0.3571418
862.2,5.25,1.008,0.770557994,-0.5187023,0.3571418
862.2,5.25,1.08,0.770557994,-0.5187023,0.3571418
862.2,5.25,1.152,0.770557994,-0.5187023,0.3571418
862.2,5.25,1.224,0.770557994,-0.5187023,0.3571418
862.2,5.25,1.296,0.770557994,-0.5187023,0.3571418
862.2,5.25,1.368,0.770557994,-0.5187023,0.3571418
862.2,5.25,1.44,0.770557994,-0.5187023,0.3571418
862.2,5.5,0,5.016068602,-0.42553303,0.2811765
862.2,5.5,0.072,1.349984495,-0.420583,0.27652258
862.2,5.5,0.144,0,-0.538587,0.3753578
862.2,5.5,0.216,0,-0.538587,0.3753578
862.2,5.5,0.288,0,-0.538587,0.3753578
862.2,5.5,0.36,2.347010836,-0.4267979,0.28369215
862.2,5.5,0.432,0,-0.5187023,0.3571418
862.2,5.5,0.504,0,-0.5187023,0.3571418
862.2,5.5,0.576,0.770557994,-0.5187023,0.3571418
862.2,5.5,0.648,0.770557994,-0.5187023,0.3571418
862.2,5.5,0.72,0.770557994,-0.5187023,0.3571418
862.2,5.5,0.792,0.770557994,-0.5187023,0.3571418
862.2,5.5,0.864,0.770557994,-0.5187023,0.3571418
862.2,5.5,0.936,0.770557994,-0.5187023,0.3571418
862.2,5.5,1.008,0.770557994,-0.5187023,0.3571418
862.2,5.5,1.08,0.770557994,-0.5187023,0.3571418
862.2,5.5,1.152,0.770557994,-0.5187023,0.3571418
862.2,5.5,1.224,0.770557994,-0.5187023,0.3571418
862.2,5.5,1.296,0.770557994,-0.5187023,0.3571418
862.2,5.5,1.368,0.770557994,-0.5187023,0.3571418
862.2,5.5,1.44,0.770557994,-0.5187023,0.3571418
862.2,5.75,0,5.016068602,-0.42553303,0.2811765
862.2,5.75,0.072,1.349984495,-0.420583,0.27652258
862.2,5.75,0.144,0,-0.538587,0.3753578
862.2,5.75,0.216,0,-0.538587,0.3753578
862.2,5.75,0.288,0,-0.538587,0.3753578
862.2,5.75,0.36,2.347010836,-0.4267979,0.28369215
862.2,5.75,0.432,0,-0.5187023,0.3571418
862.2,5.75,0.504,0,-0.5187023,0.3571418
862.2,5.75,0.576,0.770557994,-0.5187023,0.3571418
